Date,Rank,Title,Artist,Featured_Artists,Source,Duration,Total_Likes,URL
2025-10-31,1,chẳng phải tình đầu sao đau đến thế,MIN,"Dangrangto, antransax",NCT,4:43,40205,https://www.nhaccuatui.com/song/aV6cyHFUBioS
2025-10-31,2,Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,,NCT,4:05,126923,https://www.nhaccuatui.com/song/RjjlFp5VePzi
2025-10-31,3,In Love,Low G,JustaTee,NCT,3:20,22879,https://www.nhaccuatui.com/song/TfjjHnTFVTKj
2025-10-31,4,Không Buông,Hngle,Ari,NCT,2:54,74217,https://www.nhaccuatui.com/song/l8cuO7N4Gx3J
2025-10-31,5,Em,Binz,,NCT,3:28,16159,https://www.nhaccuatui.com/song/9gfD7AsrzcYv
2025-10-31,6,Kho Báu (with Rhymastic),STRONG,Rhymastic,NCT,3:37,135788,https://www.nhaccuatui.com/song/UV8S5HlKISf1
2025-10-31,7,Quyền Yếu Đuối,MiiNa,"RIN9, DREAMeR",NCT,2:55,25937,https://www.nhaccuatui.com/song/cynfdsSLkJLi
2025-10-31,8,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,"ANH TRAI ""SAY HI""","Vũ Cát Tường, Karik, Negav, Ngô Kiến Huy, Jey B",NCT,5:16,66110,https://www.nhaccuatui.com/song/ohdUc5kDIMnJ
2025-10-31,9,Ngày Này Năm Ấy,Việt Anh,,NCT,3:59,76758,https://www.nhaccuatui.com/song/10vd0FQlcvyO
2025-10-31,10,Không Thời Gian,Dương Domic,,NCT,3:37,41903,https://www.nhaccuatui.com/song/FxoGeDuCWtSP
2025-10-31,11,Phép Màu,MAYDAYs,Minh Tốc & Lam,NCT,4:26,205770,https://www.nhaccuatui.com/song/AHgR9rMS5pYw
2025-10-31,12,Panorama,Richie D. ICY,Obito,NCT,3:25,18877,https://www.nhaccuatui.com/song/SMJcVKFXYwbM
2025-10-31,13,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),Nguyễn Hùng,,NCT,4:42,130022,https://www.nhaccuatui.com/song/My2LYptZ1GS5
2025-10-31,14,Mất Kết Nối,Dương Domic,,NCT,3:27,369642,https://www.nhaccuatui.com/song/uJ8qLJzC9wH5
2025-10-31,15,ĐA NGHI,ANH TRAI SAY HI,"Negav, Hải Nam, CODYNAMVO, Dillan Hoàng Phan",NCT,4:17,21263,https://www.nhaccuatui.com/song/N0u2OIefVcyy
2025-10-31,16,NGƯỜI ĐẦU TIÊN,EM XINH SAY HI,Juky San,NCT,3:52,63573,https://www.nhaccuatui.com/song/O4NyykO66w3D
2025-10-31,17,Nắng Dưới Chân Mây,Nguyễn Hữu Kha,,NCT,3:39,82728,https://www.nhaccuatui.com/song/F2v0Z9WBlCMV
2025-10-31,18,Nắng Ấm Trong Tim,Duongg,Dadeon,NCT,4:08,9623,https://www.nhaccuatui.com/song/4dPxo73rYIvn
2025-10-31,19,Kho Báu,STRONG,,NCT,3:16,108210,https://www.nhaccuatui.com/song/kVt3JtCUChNI
2025-10-31,20,HERMOSA,ANH TRAI SAY HI,"Sơn.K, buitruonglinh, Tez, Mason Nguyen, CONGB",NCT,4:06,30361,https://www.nhaccuatui.com/song/YDxQbcF2YuCl
2025-10-31,21,E Là Không Thể,Anh Quân,,NCT,5:09,184243,https://www.nhaccuatui.com/song/r27tf4MELOuA
2025-10-31,22,ẢO ẢNH,ANH TRAI SAY HI,"Vũ Cát Tường, Gill, Ryn Lee",NCT,4:22,12916,https://www.nhaccuatui.com/song/qEDID98P9dOt
2025-10-31,23,Bình Yên,Vũ.,Binz,NCT,3:16,221952,https://www.nhaccuatui.com/song/56Um1CgCynmG
2025-10-31,24,Ngàn Năm Ánh Sáng,Đặng Vĩnh Thịnh,BMZ,NCT,3:34,54352,https://www.nhaccuatui.com/song/xnhwlEUv6mPq
2025-10-31,25,Nơi Này Có Anh,Sơn Tùng M-TP,,NCT,4:20,310450,https://www.nhaccuatui.com/song/JzDZ5BW4RSTI
2025-10-31,26,KHÔNG ĐAU NỮA RỒI,EM XINH SAY HI,"52Hz, Orange, Mỹ Mỹ, Châu Bùi, Pháp Kiều",NCT,4:51,113439,https://www.nhaccuatui.com/song/Ijo7HDYemsvo
2025-10-31,27,Giờ Thì,buitruonglinh,,NCT,3:54,162007,https://www.nhaccuatui.com/song/dyHwNKu52bax
2025-10-31,28,Em Không Cần,Hannie,,NCT,4:10,10804,https://www.nhaccuatui.com/song/2nAn8W8IgHVH
2025-10-31,29,Ngày Này Năm Ấy (Metal Rock),Việt Anh,,NCT,3:49,7369,https://www.nhaccuatui.com/song/6NeIeeSFl4y3
2025-10-31,30,Âm Thầm Bên Em,Sơn Tùng M-TP,,NCT,4:51,293525,https://www.nhaccuatui.com/song/Sttn5Z5WPKPR
2025-10-31,31,Những Lời Hứa Bỏ Quên,Vũ.,Dear Jane,NCT,3:56,293850,https://www.nhaccuatui.com/song/cJ6lXsQLONjC
2025-10-31,32,NGƯỜI YÊU CHƯA SINH RA,ANH TRAI SAY HI,"Ogenus, BigDaddy, Phúc Du, HUSTLANG Robber, Dillan Hoàng Phan",NCT,3:54,25377,https://www.nhaccuatui.com/song/OO3SZc0RTLlf
2025-10-31,33,Love Game,Low G,tlinh,NCT,3:19,30903,https://www.nhaccuatui.com/song/4OMvyyEPeIyr
2025-10-31,34,Dù Cho Tận Thế,ERIK,,NCT,3:53,242016,https://www.nhaccuatui.com/song/szDsaurUCtvX
2025-10-31,35,3 Bích,Pháp Kiều,tlinh,NCT,3:48,9408,https://www.nhaccuatui.com/song/d7TgzvVPug3u
2025-10-31,36,ANH VUI,Phạm Kỳ,,NCT,3:17,90490,https://www.nhaccuatui.com/song/bWu6k1VPJCO6
2025-10-31,37,DẪU CÓ ĐẾN ĐÂU,ANH TRAI SAY HI,"CONGB, VƯƠNG BÌNH, Lohan, Nhâm Phương Nam",NCT,4:01,15678,https://www.nhaccuatui.com/song/lVItHIYjhTZH
2025-10-31,38,GÃ SĂN CÁ,EM XINH SAY HI,"Lâm Bảo Ngọc, Quỳnh Anh Shyn, MAIQUINN, Saabirose, Quang Hùng MasterD",NCT,3:52,110364,https://www.nhaccuatui.com/song/8fBWGX9hPFRW
2025-10-31,39,Quyền Yếu Đuối (Piano Version),MiiNa,"RIN9, DREAMeR",NCT,2:54,7976,https://www.nhaccuatui.com/song/avVHFbSNKpGb
2025-10-31,40,Khóa Ly Biệt,The Masked Singer,Voi Bản Đôn,NCT,5:12,345622,https://www.nhaccuatui.com/song/4TTDL1BIR4XN
2025-10-31,41,SAU CƠN SUY,RHYDER,,NCT,3:13,24462,https://www.nhaccuatui.com/song/MtzJ5wODreXj
2025-10-31,42,Hãy Trao Cho Anh,Sơn Tùng M-TP,Snoop Dogg,NCT,4:05,926302,https://www.nhaccuatui.com/song/vtEybe9NxLw7
2025-10-31,43,Wrong Times,Puppy,Dangrangto,NCT,3:31,173571,https://www.nhaccuatui.com/song/0lTwDzgDWI2q
2025-10-31,44,một đời,14 Casper,"Bon Nghiêm, buitruonglinh",NCT,5:28,167191,https://www.nhaccuatui.com/song/ESFq1iGH8zTQ
2025-10-31,45,10 Mất 1 Còn Không,Lê Gia Bảo,BMZ,NCT,4:50,76305,https://www.nhaccuatui.com/song/UpxC3e4PNIa9
2025-10-31,46,Bạn Đời,Karik,GDucky,NCT,5:01,269407,https://www.nhaccuatui.com/song/mX8e5tI588ih
2025-10-31,48,CỨ ĐỔ TẠI CƠN MƯA,EM XINH SAY HI,"Phương Ly, Orange, Châu Bùi, 52Hz, Vũ Thảo My",NCT,4:14,42677,https://www.nhaccuatui.com/song/EemTHbrT7zsG
2025-10-31,49,ĐỘC NHẤT VÔ NHỊ,ANH TRAI SAY HI,"Karik, Vũ Cát Tường, Gill, Tez",NCT,4:19,25775,https://www.nhaccuatui.com/song/kk5K7brQLHqd
2025-10-31,50,Buông Đôi Tay Nhau Ra,Sơn Tùng M-TP,,NCT,3:46,201881,https://www.nhaccuatui.com/song/mPjFpFGJhzko
2025-11-03,1,chẳng phải tình đầu sao đau đến thế,MIN,"Dangrangto, antransax",NCT,4:43,40245,https://www.nhaccuatui.com/song/aV6cyHFUBioS
2025-11-03,2,Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,,NCT,4:05,126934,https://www.nhaccuatui.com/song/RjjlFp5VePzi
2025-11-03,3,Không Buông,Hngle,Ari,NCT,2:54,74230,https://www.nhaccuatui.com/song/l8cuO7N4Gx3J
2025-11-03,4,Em,Binz,,NCT,3:28,16178,https://www.nhaccuatui.com/song/9gfD7AsrzcYv
2025-11-03,5,In Love,Low G,JustaTee,NCT,3:20,22895,https://www.nhaccuatui.com/song/TfjjHnTFVTKj
2025-11-03,6,Kho Báu (with Rhymastic),STRONG,Rhymastic,NCT,3:37,135800,https://www.nhaccuatui.com/song/UV8S5HlKISf1
2025-11-03,7,Quyền Yếu Đuối,MiiNa,"RIN9, DREAMeR",NCT,2:55,25950,https://www.nhaccuatui.com/song/cynfdsSLkJLi
2025-11-03,8,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,ANH TRAI SAY HI,"Vũ Cát Tường, Karik, Negav, Ngô Kiến Huy, Jey B",NCT,5:16,66123,https://www.nhaccuatui.com/song/ohdUc5kDIMnJ
2025-11-03,9,Ngày Này Năm Ấy,Việt Anh,,NCT,3:59,76773,https://www.nhaccuatui.com/song/10vd0FQlcvyO
2025-11-03,10,Không Thời Gian,Dương Domic,,NCT,3:37,41913,https://www.nhaccuatui.com/song/FxoGeDuCWtSP
2025-11-03,11,Phép Màu,MAYDAYs,"Minh Tốc, Lam",NCT,4:26,205780,https://www.nhaccuatui.com/song/AHgR9rMS5pYw
2025-11-03,12,Mất Kết Nối,Dương Domic,,NCT,3:27,369647,https://www.nhaccuatui.com/song/uJ8qLJzC9wH5
2025-11-03,13,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),Nguyễn Hùng,,NCT,4:42,130027,https://www.nhaccuatui.com/song/My2LYptZ1GS5
2025-11-03,14,Panorama,Richie D. ICY,Obito,NCT,3:25,18883,https://www.nhaccuatui.com/song/SMJcVKFXYwbM
2025-11-03,15,Người Đầu Tiên,Juky San,buitruonglinh,NCT,3:35,10057,https://www.nhaccuatui.com/song/oyfwO2mxFbH0
2025-11-03,16,Nắng Dưới Chân Mây,Nguyễn Hữu Kha,,NCT,3:39,82733,https://www.nhaccuatui.com/song/F2v0Z9WBlCMV
2025-11-03,17,Em Không Cần,Hannie,,NCT,4:10,10816,https://www.nhaccuatui.com/song/2nAn8W8IgHVH
2025-11-03,18,Bình Yên,Vũ.,Binz,NCT,3:16,221958,https://www.nhaccuatui.com/song/56Um1CgCynmG
2025-11-03,19,Kho Báu,STRONG,,NCT,3:16,108214,https://www.nhaccuatui.com/song/kVt3JtCUChNI
2025-11-03,20,ĐA NGHI,ANH TRAI SAY HI,"Negav, Hải Nam, CODYNAMVO, Dillan Hoàng Phan",NCT,4:17,21273,https://www.nhaccuatui.com/song/N0u2OIefVcyy
2025-11-03,21,NGƯỜI ĐẦU TIÊN,EM XINH SAY HI,Juky San,NCT,3:52,63575,https://www.nhaccuatui.com/song/O4NyykO66w3D
2025-11-03,22,Nơi Này Có Anh,Sơn Tùng M-TP,,NCT,4:20,310454,https://www.nhaccuatui.com/song/JzDZ5BW4RSTI
2025-11-03,23,Ngàn Năm Ánh Sáng,Đặng Vĩnh Thịnh,BMZ,NCT,3:34,54363,https://www.nhaccuatui.com/song/xnhwlEUv6mPq
2025-11-03,24,Nắng Ấm Trong Tim,Duongg,Dadeon,NCT,4:08,9628,https://www.nhaccuatui.com/song/4dPxo73rYIvn
2025-11-03,25,E Là Không Thể,Anh Quân,,NCT,5:09,184249,https://www.nhaccuatui.com/song/r27tf4MELOuA
2025-11-03,26,KHÔNG ĐAU NỮA RỒI,EM XINH SAY HI,"52Hz, Orange, Mỹ Mỹ, Châu Bùi, Pháp Kiều",NCT,4:51,113447,https://www.nhaccuatui.com/song/Ijo7HDYemsvo
2025-11-03,27,Ngày Này Năm Ấy (Metal Rock),Việt Anh,,NCT,3:49,7381,https://www.nhaccuatui.com/song/6NeIeeSFl4y3
2025-11-03,28,HERMOSA,ANH TRAI SAY HI,"Sơn.K, buitruonglinh, Tez, Mason Nguyen, CONGB",NCT,4:06,30366,https://www.nhaccuatui.com/song/YDxQbcF2YuCl
2025-11-03,29,Giờ Thì,buitruonglinh,,NCT,3:54,162010,https://www.nhaccuatui.com/song/dyHwNKu52bax
2025-11-03,30,Âm Thầm Bên Em,Sơn Tùng M-TP,,NCT,4:51,293525,https://www.nhaccuatui.com/song/Sttn5Z5WPKPR
2025-11-03,31,Dù Cho Tận Thế,ERIK,,NCT,3:53,242018,https://www.nhaccuatui.com/song/szDsaurUCtvX
2025-11-03,32,Những Lời Hứa Bỏ Quên,Vũ.,Dear Jane,NCT,3:56,293855,https://www.nhaccuatui.com/song/cJ6lXsQLONjC
2025-11-03,33,ANH VUI,Phạm Kỳ,,NCT,3:17,90495,https://www.nhaccuatui.com/song/bWu6k1VPJCO6
2025-11-03,34,GÃ SĂN CÁ,EM XINH SAY HI,"Lâm Bảo Ngọc, Quỳnh Anh Shyn, MAIQUINN, Saabirose, Quang Hùng MasterD",NCT,3:52,110369,https://www.nhaccuatui.com/song/8fBWGX9hPFRW
2025-11-03,35,NGƯỜI YÊU CHƯA SINH RA,ANH TRAI SAY HI,"Ogenus, BigDaddy, Phúc Du, HUSTLANG Robber, Dillan Hoàng Phan",NCT,3:54,25384,https://www.nhaccuatui.com/song/OO3SZc0RTLlf
2025-11-03,36,Love Game,Low G,tlinh,NCT,3:19,30907,https://www.nhaccuatui.com/song/4OMvyyEPeIyr
2025-11-03,37,ẢO ẢNH,ANH TRAI SAY HI,"Vũ Cát Tường, Gill, Ryn Lee",NCT,4:22,12921,https://www.nhaccuatui.com/song/qEDID98P9dOt
2025-11-03,38,Quyền Yếu Đuối (Piano Version),MiiNa,"RIN9, DREAMeR",NCT,2:54,7984,https://www.nhaccuatui.com/song/avVHFbSNKpGb
2025-11-03,39,3 Bích,Pháp Kiều,tlinh,NCT,3:48,9414,https://www.nhaccuatui.com/song/d7TgzvVPug3u
2025-11-03,40,Khóa Ly Biệt,The Masked Singer,Voi Bản Đôn,NCT,5:12,345627,https://www.nhaccuatui.com/song/4TTDL1BIR4XN
2025-11-03,41,Wrong Times,Puppy,Dangrangto,NCT,3:31,173574,https://www.nhaccuatui.com/song/0lTwDzgDWI2q
2025-11-03,42,DẪU CÓ ĐẾN ĐÂU,ANH TRAI SAY HI,"CONGB, VƯƠNG BÌNH, Lohan, Nhâm Phương Nam",NCT,4:01,15682,https://www.nhaccuatui.com/song/lVItHIYjhTZH
2025-11-03,43,10 Mất 1 Còn Không,Lê Gia Bảo,BMZ,NCT,4:50,76307,https://www.nhaccuatui.com/song/UpxC3e4PNIa9
2025-11-03,44,một đời,14 Casper,"Bon Nghiêm, buitruonglinh",NCT,5:28,167194,https://www.nhaccuatui.com/song/ESFq1iGH8zTQ
2025-11-03,45,SAU CƠN SUY,RHYDER,,NCT,3:13,24468,https://www.nhaccuatui.com/song/MtzJ5wODreXj
2025-11-03,46,Hãy Trao Cho Anh,Sơn Tùng M-TP,Snoop Dogg,NCT,4:05,926303,https://www.nhaccuatui.com/song/vtEybe9NxLw7
2025-11-03,47,Buông Đôi Tay Nhau Ra,Sơn Tùng M-TP,,NCT,3:46,201885,https://www.nhaccuatui.com/song/mPjFpFGJhzko
2025-11-03,48,Bạn Đời,Karik,GDucky,NCT,5:01,269409,https://www.nhaccuatui.com/song/mX8e5tI588ih
2025-11-03,49,CỨ ĐỔ TẠI CƠN MƯA,EM XINH SAY HI,"Phương Ly, Orange, Châu Bùi, 52Hz, Vũ Thảo My",NCT,4:14,42683,https://www.nhaccuatui.com/song/EemTHbrT7zsG
2025-11-04,1,chẳng phải tình đầu sao đau đến thế,MIN,"Dangrangto, antransax",NCT,4:43,40252,https://www.nhaccuatui.com/song/aV6cyHFUBioS
2025-11-04,2,Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,,NCT,4:05,126935,https://www.nhaccuatui.com/song/RjjlFp5VePzi
2025-11-04,3,Em,Binz,,NCT,3:28,16181,https://www.nhaccuatui.com/song/9gfD7AsrzcYv
2025-11-04,4,Không Buông,Hngle,Ari,NCT,2:54,74233,https://www.nhaccuatui.com/song/l8cuO7N4Gx3J
2025-11-04,5,In Love,Low G,JustaTee,NCT,3:20,22900,https://www.nhaccuatui.com/song/TfjjHnTFVTKj
2025-11-04,6,Kho Báu (with Rhymastic),STRONG,Rhymastic,NCT,3:37,135798,https://www.nhaccuatui.com/song/UV8S5HlKISf1
2025-11-04,7,Quyền Yếu Đuối,MiiNa,"RIN9, DREAMeR",NCT,2:55,25955,https://www.nhaccuatui.com/song/cynfdsSLkJLi
2025-11-04,8,Người Đầu Tiên,Juky San,buitruonglinh,NCT,3:35,10066,https://www.nhaccuatui.com/song/oyfwO2mxFbH0
2025-11-04,9,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,ANH TRAI SAY HI,"Vũ Cát Tường, Karik, Negav, Ngô Kiến Huy, Jey B",NCT,5:16,66122,https://www.nhaccuatui.com/song/ohdUc5kDIMnJ
2025-11-04,10,Ngày Này Năm Ấy,Việt Anh,,NCT,3:59,76773,https://www.nhaccuatui.com/song/10vd0FQlcvyO
2025-11-04,11,Không Thời Gian,Dương Domic,,NCT,3:37,41913,https://www.nhaccuatui.com/song/FxoGeDuCWtSP
2025-11-04,12,Phép Màu,MAYDAYs,"Minh Tốc, Lam",NCT,4:26,205780,https://www.nhaccuatui.com/song/AHgR9rMS5pYw
2025-11-04,13,Mất Kết Nối,Dương Domic,,NCT,3:27,369647,https://www.nhaccuatui.com/song/uJ8qLJzC9wH5
2025-11-04,14,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),Nguyễn Hùng,,NCT,4:42,130026,https://www.nhaccuatui.com/song/My2LYptZ1GS5
2025-11-04,15,Panorama,Richie D. ICY,Obito,NCT,3:25,18884,https://www.nhaccuatui.com/song/SMJcVKFXYwbM
2025-11-04,16,Em Không Cần,Hannie,,NCT,4:10,10816,https://www.nhaccuatui.com/song/2nAn8W8IgHVH
2025-11-04,17,Nắng Dưới Chân Mây,Nguyễn Hữu Kha,,NCT,3:39,82732,https://www.nhaccuatui.com/song/F2v0Z9WBlCMV
2025-11-04,18,Kho Báu,STRONG,,NCT,3:16,108212,https://www.nhaccuatui.com/song/kVt3JtCUChNI
2025-11-04,19,ĐA NGHI,ANH TRAI SAY HI,"Negav, Hải Nam, CODYNAMVO, Dillan Hoàng Phan",NCT,4:17,21273,https://www.nhaccuatui.com/song/N0u2OIefVcyy
2025-11-04,20,Bình Yên,Vũ.,Binz,NCT,3:16,221958,https://www.nhaccuatui.com/song/56Um1CgCynmG
2025-11-04,21,Nơi Này Có Anh,Sơn Tùng M-TP,,NCT,4:20,310454,https://www.nhaccuatui.com/song/JzDZ5BW4RSTI
2025-11-04,22,E Là Không Thể,Anh Quân,,NCT,5:09,184250,https://www.nhaccuatui.com/song/r27tf4MELOuA
2025-11-04,23,KHÔNG ĐAU NỮA RỒI,EM XINH SAY HI,"52Hz, Orange, Mỹ Mỹ, Châu Bùi, Pháp Kiều",NCT,4:51,113446,https://www.nhaccuatui.com/song/Ijo7HDYemsvo
2025-11-04,24,Ngàn Năm Ánh Sáng,Đặng Vĩnh Thịnh,BMZ,NCT,3:34,54363,https://www.nhaccuatui.com/song/xnhwlEUv6mPq
2025-11-04,25,NGƯỜI ĐẦU TIÊN,EM XINH SAY HI,Juky San,NCT,3:52,63573,https://www.nhaccuatui.com/song/O4NyykO66w3D
2025-11-04,26,HERMOSA,ANH TRAI SAY HI,"Sơn.K, buitruonglinh, Tez, Mason Nguyen, CONGB",NCT,4:06,30365,https://www.nhaccuatui.com/song/YDxQbcF2YuCl
