title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,APPLE_MUSIC_avg_rank,APPLE_MUSIC_first_date,APPLE_MUSIC_last_date,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_avg_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,SPOTIFY_first_date,SPOTIFY_last_date,NCT_appearances,NCT_peak_rank,NCT_avg_rank,NCT_total_likes,NCT_first_date,NCT_last_date,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_avg_rank,ZINGMP3_total_likes,ZINGMP3_total_plays,ZINGMP3_first_date,ZINGMP3_last_date
người đầu tiên,juky san,buitruonglinh,"apple, nct, spotify, zingmp3",68.0,2025-08-18,v-pop,3qKeW2XJFZU5CvOQKStQW6,4,5.0,15.27,48.0,98.0,16.0,11.0,18.31,2025-11-05,2025-11-12,9.0,5.0,7.44,12.0,903846.0,6.0,2025-11-03,2025-11-11,8.0,5.0,9.12,19219.0,2025-11-03,2025-11-13,15.0,15.0,26.2,12000.0,442000.0,2025-10-31,2025-11-13
anh đã không biết cách yêu em,quang đăng trần,,"apple, nct, spotify, zingmp3",66.0,2025-07-05,"vietnamese lo-fi, v-pop, vinahouse",2daxUR0gVJr2dOmOtYvW8R,4,2.0,15.61,43.0,96.08,8.0,35.0,39.75,2025-11-05,2025-11-12,11.0,13.0,16.55,101.0,6357076.0,8.0,2025-10-31,2025-11-11,9.0,2.0,2.22,133254.0,2025-10-31,2025-11-13,15.0,3.0,3.93,399000.0,20300000.0,2025-10-31,2025-11-13
in love,low g,justatee,"apple, nct, spotify, zingmp3",66.0,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",7uUuftbcr94tzGOCJSM25u,4,2.0,15.82,43.0,96.08,8.0,3.0,3.75,2025-11-05,2025-11-12,11.0,2.0,4.55,21.0,2384648.0,2.0,2025-10-31,2025-11-11,9.0,2.0,5.0,28048.0,2025-10-31,2025-11-13,15.0,26.0,50.0,6000.0,511000.0,2025-10-31,2025-11-13
không buông,hngle,ari,"apple, nct, spotify, zingmp3",70.0,2025-08-25,v-pop,1ApIGNgp1azc0qB61x4GzG,4,3.0,7.97,43.0,95.68,8.0,6.0,6.12,2025-11-05,2025-11-12,11.0,3.0,3.73,71.0,7850531.0,2.0,2025-10-31,2025-11-11,9.0,3.0,3.44,79674.0,2025-10-31,2025-11-13,15.0,12.0,18.6,70000.0,3600000.0,2025-10-31,2025-11-13
không thời gian,dương domic,,"apple, nct, spotify, zingmp3",67.0,2025-09-20,"v-pop, vietnamese hip hop",6GUKRhIsWxA7VuZW8MKQLG,4,6.0,24.16,43.0,94.48,8.0,43.0,48.38,2025-11-05,2025-11-12,11.0,6.0,10.36,51.0,4069139.0,6.0,2025-10-31,2025-11-11,9.0,9.0,11.44,45478.0,2025-10-31,2025-11-13,15.0,18.0,26.47,43000.0,2200000.0,2025-10-31,2025-11-13
người như anh xứng đáng cô đơn,anh trai say hi,"vũ cát tường, karik, negav, ngô kiến huy, jey b","apple, nct, spotify, zingmp3",68.0,2025-09-29,"v-pop, vietnamese hip hop",5u5AsK8JLgkr154QHZjJqh,4,8.0,15.74,43.0,93.68,8.0,14.0,17.0,2025-11-05,2025-11-12,11.0,14.0,24.55,44.0,4398327.0,2.0,2025-10-31,2025-11-11,9.0,8.0,9.33,69080.0,2025-10-31,2025-11-13,15.0,9.0,12.07,41000.0,2900000.0,2025-10-31,2025-11-13
không đau nữa rồi,em xinh say hi,"orange, châu bùi, mỹ mỹ, pháp kiều, 52hz","apple, nct, spotify, zingmp3",67.0,2025-06-23,v-pop,1uiqiUzPn2EJpvHDy84PEZ,4,8.0,29.33,43.0,93.68,8.0,8.0,11.88,2025-11-05,2025-11-12,11.0,17.0,25.73,142.0,11772826.0,1.0,2025-10-31,2025-11-11,9.0,23.0,25.78,115039.0,2025-10-31,2025-11-13,15.0,41.0,53.93,87000.0,7400000.0,2025-10-31,2025-11-13
còn gì đẹp hơn (mưa đỏ original soundtrack),nguyễn hùng,,"apple, nct, spotify, zingmp3",65.0,2025-07-27,"v-pop, vietnam indie",5zXCoF69UxPNLrpar8Rk7e,4,13.0,38.9,43.0,91.68,8.0,35.0,43.0,2025-11-05,2025-11-12,11.0,42.0,60.09,106.0,7984208.0,1.0,2025-10-31,2025-11-11,9.0,13.0,15.78,131500.0,2025-10-31,2025-11-13,15.0,24.0,36.73,124000.0,7300000.0,2025-10-31,2025-11-13
đoạn kịch câm,anh trai say hi,"congb, negav, b ray, codynamvo, phạm đình thái ngân, mỹ mỹ","apple, nct, spotify, zingmp3",56.0,2025-11-03,"v-pop, vietnamese hip hop",703nPWb6qOClgjJljvUx7Y,4,7.0,27.1,37.0,90.32,8.0,31.0,36.25,2025-11-05,2025-11-12,8.0,29.0,38.12,9.0,480255.0,29.0,2025-11-04,2025-11-11,6.0,7.0,8.17,15133.0,2025-11-05,2025-11-13,15.0,9.0,25.87,9000.0,332000.0,2025-10-31,2025-11-13
kho báu,(s)trong,,"apple, nct, spotify, zingmp3",64.0,2025-08-14,"v-pop, vietnam indie",2qrpmvkxE0oz78ym1LEvXd,3,4.0,33.37,42.0,87.15,15.0,9.0,29.53,2025-11-05,2025-11-12,,,,,,,,,12.0,4.0,17.25,139356.0,2025-10-31,2025-11-13,15.0,37.0,53.33,63000.0,6400000.0,2025-10-31,2025-11-13
hơn là bạn,anh trai say hi,"ngô kiến huy, vũ cát tường, karik, vương bình, sơn.k, min","apple, nct, spotify, zingmp3",52.0,2025-11-03,"v-pop, vietnamese hip hop",6HfodJwwVoCsygZqZ2xKYN,4,13.0,55.29,34.0,86.05,8.0,66.0,80.12,2025-11-05,2025-11-12,5.0,60.0,75.8,8.0,300594.0,60.0,2025-11-05,2025-11-11,6.0,13.0,15.83,11794.0,2025-11-05,2025-11-13,15.0,28.0,49.4,7000.0,256000.0,2025-10-31,2025-11-13
người đầu tiên,em xinh say hi,juky san,"nct, spotify, zingmp3",68.0,2025-08-18,v-pop,3qKeW2XJFZU5CvOQKStQW6,3,5.0,17.83,35.0,82.38,,,,,,11.0,5.0,8.36,85.0,7715711.0,2.0,2025-10-31,2025-11-11,9.0,16.0,24.0,65258.0,2025-10-31,2025-11-13,15.0,8.0,21.13,47000.0,3800000.0,2025-10-31,2025-11-13
love game,low g,tlinh,"apple, nct, spotify, zingmp3",63.0,2025-09-11,"vietnamese hip hop, v-pop, vietnam indie",0x7rhEP1Tak1guiTYODlic,4,19.0,58.68,31.0,81.78,8.0,19.0,23.38,2025-11-05,2025-11-12,11.0,58.0,80.55,61.0,3652886.0,3.0,2025-10-31,2025-11-11,9.0,33.0,37.78,32444.0,2025-10-31,2025-11-13,3.0,90.0,93.0,11000.0,788000.0,2025-11-08,2025-11-10
ngày này năm ấy,việt anh,,"apple, nct, spotify, zingmp3",65.0,2025-07-12,"vinahouse, v-pop",1WbTOu4D2oHK9fg2qR6msd,3,7.0,19.84,35.0,81.58,,,,,,11.0,31.0,37.82,95.0,5496921.0,11.0,2025-10-31,2025-11-11,9.0,9.0,10.44,80275.0,2025-10-31,2025-11-13,15.0,7.0,11.27,129000.0,7100000.0,2025-10-31,2025-11-13
đa nghi,anh trai say hi,"negav, hải nam, codynamvo, dillan hoàng phan","apple, nct, spotify, zingmp3",62.0,2025-10-13,"v-pop, vietnamese hip hop",5ip4iGkbZNrihMGHAqOgMl,4,15.0,54.89,28.0,81.5,2.0,79.0,85.5,2025-11-05,2025-11-06,2.0,68.0,82.0,24.0,1028166.0,21.0,2025-10-31,2025-11-05,9.0,15.0,25.33,23311.0,2025-10-31,2025-11-13,15.0,20.0,26.73,14000.0,855000.0,2025-10-31,2025-11-13
em không cần,hannie,,"nct, spotify, zingmp3",57.0,2025-10-16,"v-pop, vinahouse",3M8XPtbFW7xWyz2JmuDcce,3,1.0,52.58,31.0,81.47,,,,,,7.0,68.0,79.57,18.0,673159.0,67.0,2025-10-31,2025-11-11,9.0,16.0,23.78,13721.0,2025-10-31,2025-11-13,15.0,1.0,54.4,9000.0,452000.0,2025-10-31,2025-11-13
chẳng phải tình đầu sao đau đến thế,min,"dangrangto, antransax","apple, nct, spotify",67.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3T7XHOdRcyhKU3QCB6kZG3,3,1.0,1.36,28.0,79.6,8.0,1.0,1.0,2025-11-05,2025-11-12,11.0,2.0,2.09,20.0,2656843.0,2.0,2025-10-31,2025-11-11,9.0,1.0,1.0,52950.0,2025-10-31,2025-11-13,,,,,,,
em,binz,,"apple, nct, spotify",65.0,2025-10-25,"vietnamese hip hop, v-pop, vietnam indie, vinahouse",1UhQ0VwKq2PGnLiAZOJYV1,3,2.0,3.8,28.0,79.2,8.0,2.0,2.12,2025-11-05,2025-11-12,11.0,3.0,4.73,17.0,1706918.0,3.0,2025-10-31,2025-11-11,9.0,3.0,4.56,22294.0,2025-10-31,2025-11-13,,,,,,,
ngàn năm ánh sáng,đặng vĩnh thịnh,bmz,"nct, spotify, zingmp3",66.0,2025-07-30,"v-pop, vietnam indie",4nyoalDFgUaZOzIKqj3aS5,3,14.0,34.01,35.0,78.78,,,,,,11.0,14.0,25.73,97.0,6310096.0,5.0,2025-10-31,2025-11-11,9.0,23.0,25.11,56693.0,2025-10-31,2025-11-13,15.0,38.0,51.2,40000.0,2600000.0,2025-10-31,2025-11-13
nắng ấm trong tim,duongg,dadeon,"nct, spotify, zingmp3",57.0,2025-10-24,"vietnamese lo-fi, v-pop, vietnam indie",3rIQPhzwnHiF3PzfFVnXp5,3,18.0,40.3,34.0,76.55,,,,,,10.0,31.0,55.8,16.0,676900.0,31.0,2025-11-01,2025-11-11,9.0,18.0,29.78,13002.0,2025-10-31,2025-11-13,15.0,20.0,35.33,18000.0,518000.0,2025-10-31,2025-11-13
wrong times,puppy,dangrangto,"apple, nct, spotify",68.0,2023-05-17,"v-pop, vietnamese hip hop",3uT8QfoX0BE8ZJa4h98LDW,3,9.0,39.93,28.0,76.4,8.0,60.0,65.12,2025-11-05,2025-11-12,11.0,9.0,12.0,725.0,49876765.0,3.0,2025-10-31,2025-11-11,9.0,41.0,42.67,174568.0,2025-10-31,2025-11-13,,,,,,,
mất kết nối,dương domic,,"apple, nct, spotify",66.0,2024-11-22,"v-pop, vietnamese hip hop",3CmacJj7VC4W6daC8BWd0h,3,11.0,23.91,28.0,75.6,8.0,11.0,21.62,2025-11-05,2025-11-12,11.0,29.0,35.45,355.0,42152440.0,1.0,2025-10-31,2025-11-11,9.0,12.0,14.67,371244.0,2025-10-31,2025-11-13,,,,,,,
bình yên,vũ.,binz,"apple, nct, spotify",64.0,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",41DlPJXKTCypXdf2eSqa03,3,11.0,19.1,28.0,75.6,8.0,13.0,21.12,2025-11-05,2025-11-12,11.0,11.0,16.73,440.0,39741545.0,3.0,2025-10-31,2025-11-11,9.0,18.0,19.44,223928.0,2025-10-31,2025-11-13,,,,,,,
sớm muộn thì,anh trai say hi,"hustlang robber, nhâm phương nam, mason nguyen, jaysonlei, khoi vu, lamoon","apple, nct, spotify, zingmp3",,,,,4,2.0,16.5,7.0,73.58,2.0,3.0,5.0,2025-11-11,2025-11-12,1.0,15.0,15.0,1.0,77039.0,15.0,2025-11-11,2025-11-11,2.0,2.0,19.0,8771.0,2025-11-12,2025-11-13,2.0,25.0,27.0,3000.0,85000.0,2025-11-12,2025-11-13
panorama,richie d. icy,obito,"apple, nct, spotify",62.0,2025-10-10,"vietnamese hip hop, v-pop",6gmvd9Lld9MiNR9r6I9eFE,3,12.0,45.46,20.0,70.2,8.0,27.0,30.5,2025-11-05,2025-11-12,3.0,82.0,88.0,27.0,1529968.0,13.0,2025-10-31,2025-11-06,9.0,12.0,17.89,20562.0,2025-10-31,2025-11-13,,,,,,,
cứ đổ tại cơn mưa,em xinh say hi,"phương ly, orange, châu bùi, 52hz, vũ thảo my","apple, nct, zingmp3",59.0,2025-08-11,v-pop,0SNgVYcHY0UPil9YGmwU5k,3,17.0,61.37,22.0,69.45,4.0,89.0,94.25,2025-11-05,2025-11-08,,,,,,,,,3.0,48.0,49.0,42683.0,2025-10-31,2025-11-04,15.0,17.0,40.87,31000.0,3400000.0,2025-10-31,2025-11-13
giờ thì,buitruonglinh,,"apple, nct, spotify",65.0,2024-12-12,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",7mblTCdc14ylJ1JW71MODb,3,27.0,55.41,28.0,69.2,8.0,86.0,91.5,2025-11-05,2025-11-12,11.0,31.0,45.73,331.0,18165221.0,10.0,2025-10-31,2025-11-11,9.0,27.0,29.0,163689.0,2025-10-31,2025-11-13,,,,,,,
người yêu chưa sinh ra,anh trai say hi,"ogenus, bigdaddy, phúc du, hustlang robber, dillan hoàng phan","apple, nct, zingmp3",60.0,2025-09-29,"v-pop, vietnamese hip hop",2ix8KB1Xm7rRGzkh3i8P1d,3,32.0,68.27,31.0,69.08,7.0,85.0,95.43,2025-11-05,2025-11-12,,,,,,,,,9.0,32.0,38.44,27163.0,2025-10-31,2025-11-13,15.0,64.0,70.93,15000.0,914000.0,2025-10-31,2025-11-13
gã săn cá,em xinh say hi,"lâm bảo ngọc, quỳnh anh shyn, maiquinn, saabirose, quang hùng masterd","apple, nct, zingmp3",61.0,2025-06-30,v-pop,34FhBswjcDbFzGx8zcPqoj,3,34.0,64.65,32.0,68.9,8.0,74.0,84.12,2025-11-05,2025-11-12,,,,,,,,,9.0,34.0,37.89,111507.0,2025-10-31,2025-11-13,15.0,59.0,71.93,113000.0,6900000.0,2025-10-31,2025-11-13
quyền yếu đuối,miina,"rin9, dreamer","nct, zingmp3",49.0,2025-10-12,v-pop,5hxSgb5GRPvcjg06W4C3cF,2,4.0,7.36,24.0,68.4,,,,,,,,,,,,,,9.0,7.0,8.33,31215.0,2025-10-31,2025-11-13,15.0,4.0,6.4,54000.0,1500000.0,2025-10-31,2025-11-13
10 mất 1 còn không,lê gia bảo,bmz,"nct, zingmp3",47.0,2025-05-08,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",4NksYk8JJnriSPy5eVj5MW,2,6.0,27.74,24.0,67.6,,,,,,,,,,,,,,9.0,43.0,46.56,77635.0,2025-10-31,2025-11-13,15.0,6.0,8.93,373000.0,22400000.0,2025-10-31,2025-11-13
kho báu (with rhymastic),(s)trong,rhymastic,"apple, nct, zingmp3",64.0,2025-08-14,"v-pop, vietnam indie",2qrpmvkxE0oz78ym1LEvXd,2,6.0,12.56,21.0,65.72,,,,,,,,,,,,,,6.0,6.0,6.0,136259.0,2025-10-31,2025-11-07,15.0,12.0,19.13,69000.0,5600000.0,2025-10-31,2025-11-13
anh là thằng tồi,phùng khánh linh,,"apple, spotify",61.0,2025-10-18,"v-pop, vietnam indie",6GPcbZOX4h9MWert6xWpYw,2,5.0,23.32,19.0,64.88,8.0,5.0,5.0,2025-11-05,2025-11-12,11.0,33.0,41.64,23.0,1109605.0,32.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
âm thầm bên em,sơn tùng m-tp,,"nct, spotify",68.0,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",2wZAvkgiOE5tyrnqhB69KA,2,8.0,19.97,20.0,64.3,,,,,,11.0,8.0,10.27,1848.0,44907218.0,4.0,2025-10-31,2025-11-11,9.0,28.0,29.67,295187.0,2025-10-31,2025-11-13,,,,,,,
exit sign,hieuthuhai,marzuz,"apple, spotify",70.0,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",4nXrVH5xwN1w6TpmP7uu8n,2,8.0,45.86,19.0,63.68,8.0,57.0,77.0,2025-11-05,2025-11-12,11.0,8.0,14.73,616.0,54777693.0,3.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
dẫu có đến đâu,anh trai say hi,"congb, vương bình, lohan, nhâm phương nam","nct, zingmp3",60.0,2025-10-13,"v-pop, vietnamese hip hop",5aDTawTXK6FJjXTUsR03n2,2,13.0,34.86,22.0,63.55,,,,,,,,,,,,,,7.0,37.0,44.0,16992.0,2025-10-31,2025-11-11,15.0,13.0,25.73,11000.0,1000000.0,2025-10-31,2025-11-13
thiệp hồng sai tên,nguyễn thành đạt,,"nct, zingmp3",27.0,2025-10-30,,2CRh637uw03V8RkeovhcdF,2,4.0,30.56,16.0,63.4,,,,,,,,,,,,,,1.0,46.0,46.0,9394.0,2025-11-13,2025-11-13,15.0,4.0,15.13,28000.0,490000.0,2025-10-31,2025-11-13
phép màu,maydays,minh tốc & lam,"apple, nct, spotify",68.0,2025-02-21,"v-pop, vietnam indie",1DVYafsLmcQySKkJnY4RCs,2,11.0,15.29,20.0,63.1,,,,,,11.0,13.0,17.36,261.0,23237191.0,2.0,2025-10-31,2025-11-11,9.0,11.0,13.22,208290.0,2025-10-31,2025-11-13,,,,,,,
tiếc cho em,rhyder,,"spotify, zingmp3",66.0,2025-10-16,"v-pop, vietnamese hip hop",56LSZ1PFm7nOo734RfbEDo,2,21.0,48.61,26.0,62.85,,,,,,11.0,26.0,33.09,26.0,1530397.0,7.0,2025-10-31,2025-11-11,,,,,,,15.0,21.0,64.13,8000.0,580000.0,2025-10-31,2025-11-13
một đời,14 casper,"bon nghiêm, buitruonglinh","nct, spotify",62.0,2023-03-03,"v-pop, vietnamese lo-fi, vietnam indie",4gaxEUZE4z9pJAVTSFwgQI,2,12.0,34.6,20.0,62.7,,,,,,11.0,12.0,22.64,590.0,31326887.0,10.0,2025-10-31,2025-11-11,9.0,43.0,46.56,168723.0,2025-10-31,2025-11-13,,,,,,,
vùng an toàn,b ray,v#,"apple, spotify",63.0,2025-07-08,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",6Zoi4ue74UdUeYmHXItXnf,2,12.0,47.49,19.0,62.08,8.0,12.0,16.62,2025-11-05,2025-11-12,11.0,57.0,78.36,127.0,7762477.0,3.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
hermosa,anh trai say hi,"sơn.k, buitruonglinh, tez, mason nguyen, congb","nct, zingmp3",60.0,2025-09-29,"v-pop, vietnamese hip hop",7tDEWTNvUrVDCWdOrJWATZ,2,20.0,42.92,24.0,62.0,,,,,,,,,,,,,,9.0,20.0,28.56,32284.0,2025-10-31,2025-11-13,15.0,47.0,57.27,18000.0,1300000.0,2025-10-31,2025-11-13
những lời hứa bỏ quên,vũ.,dear jane,"apple, nct, spotify",58.0,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",1LJyhnPdYGRLerwJd8CmL1,3,31.0,64.61,19.0,61.97,8.0,72.0,76.12,2025-11-05,2025-11-12,2.0,71.0,85.5,694.0,41009967.0,1.0,2025-11-06,2025-11-07,9.0,31.0,32.22,295303.0,2025-10-31,2025-11-13,,,,,,,
vết thương,fishy,,"apple, spotify",66.0,2023-06-29,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",6mKMGpkgP2cH5gmqILWe7b,2,13.0,53.16,19.0,61.68,8.0,79.0,85.5,2025-11-05,2025-11-12,11.0,13.0,20.82,178.0,9528801.0,10.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
mục hạ vô nhân,soobin,"binz, nsnd huỳnh tú","apple, nct, spotify",,,,,3,10.0,29.83,4.0,61.0,2.0,10.0,17.5,2025-11-11,2025-11-12,1.0,58.0,58.0,1.0,45657.0,58.0,2025-11-11,2025-11-11,1.0,14.0,14.0,1997.0,2025-11-13,2025-11-13,,,,,,,
đừng làm trái tim anh đau,sơn tùng m-tp,,"apple, spotify",65.0,2024-06-08,"v-pop, vinahouse, vietnamese hip hop",31VNCmwspR7nVJ6kruUuJt,2,15.0,46.07,19.0,60.88,8.0,15.0,22.5,2025-11-05,2025-11-12,11.0,54.0,69.64,522.0,50335672.0,1.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
dancing in the dark,soobin,,"apple, spotify",54.0,2024-06-25,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3x7Hh3zsE1wcXCU2G8l5tP,2,17.0,29.68,19.0,60.08,8.0,25.0,38.0,2025-11-05,2025-11-12,11.0,17.0,21.36,244.0,21698857.0,3.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
không thể say,hieuthuhai,,"apple, spotify",67.0,2023-10-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",1K0HQ30Wc11okzlcnFA7Ub,2,18.0,23.7,19.0,59.68,8.0,18.0,20.75,2025-11-05,2025-11-12,11.0,21.0,26.64,938.0,57352495.0,7.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
nơi này có anh,sơn tùng m-tp,,"nct, spotify",64.0,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",5rSAUmbOg4giDrM29vUyHe,2,20.0,31.94,20.0,59.5,,,,,,11.0,31.0,42.09,2129.0,32436862.0,7.0,2025-10-31,2025-11-11,9.0,20.0,21.78,312433.0,2025-10-31,2025-11-13,,,,,,,
ảo ảnh,anh trai say hi,"vũ cát tường, gill, ryn lee","nct, zingmp3",55.0,2025-10-20,"v-pop, vietnamese hip hop",2BKhVHyxHjbIAFVMfR4T3b,2,22.0,47.3,19.0,58.08,,,,,,,,,,,,,,4.0,22.0,34.0,12921.0,2025-10-31,2025-11-05,15.0,44.0,60.6,8000.0,455000.0,2025-10-31,2025-11-13
tháng năm,soobin,,"apple, spotify",65.0,2020-12-15,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",0SmQ0UWeiHKQtxUej4Rem6,2,23.0,45.99,19.0,57.68,8.0,23.0,26.25,2025-11-05,2025-11-12,11.0,53.0,65.73,1070.0,19993189.0,5.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
buông đôi tay nhau ra,sơn tùng m-tp,,"nct, spotify",67.0,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",3P3rcI48wwVEgxF5vPM6pG,2,25.0,41.94,20.0,57.5,,,,,,11.0,25.0,37.0,851.0,24855245.0,3.0,2025-10-31,2025-11-11,9.0,45.0,46.89,203280.0,2025-10-31,2025-11-13,,,,,,,
giá như,soobin,,"apple, spotify",61.0,2024-04-10,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",1LxaXT8hwdBWSNpOqTjF8R,2,25.0,37.0,19.0,56.88,8.0,29.0,43.0,2025-11-05,2025-11-12,11.0,25.0,31.0,580.0,27703226.0,9.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
