title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,APPLE_MUSIC_avg_rank,APPLE_MUSIC_first_date,APPLE_MUSIC_last_date,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_avg_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,SPOTIFY_first_date,SPOTIFY_last_date,NCT_appearances,NCT_peak_rank,NCT_avg_rank,NCT_total_likes,NCT_first_date,NCT_last_date,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_avg_rank,ZINGMP3_total_likes,ZINGMP3_total_plays,ZINGMP3_first_date,ZINGMP3_last_date
ngã về không,đặng thiên chí,,zingmp3,30.0,2025-05-09,"vinahouse, vietnamese lo-fi",4OZpPHVEIIHFhVOu2DBGJd,1,77.0,84.23,13.0,24.83,,,,,,,,,,,,,,,,,,,,13.0,77.0,84.23,90000.0,5600000.0,2025-10-31,2025-11-13
duyên nợ còn đâu,phạm vũ luân,,zingmp3,1.0,2025-10-30,,00oXuoc8EYyZpg0FYJHqE3,1,63.0,67.33,3.0,24.18,,,,,,,,,,,,,,,,,,,,3.0,63.0,67.33,3000.0,65000.0,2025-11-10,2025-11-13
pin dự phòng,dương domic,lou hoàng,apple,,,,,1,62.0,77.0,2.0,23.95,2.0,62.0,77.0,2025-11-11,2025-11-12,,,,,,,,,,,,,,,,,,,,,
ilysmbihtlyg (interlude),min,,apple,49.0,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3To9alnOgQ0abb9odA1C74,1,64.0,77.33,3.0,23.78,3.0,64.0,77.33,2025-11-05,2025-11-07,,,,,,,,,,,,,,,,,,,,,
ướt lòng,văn mai hương,,zingmp3,46.0,2025-07-29,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",6EkzQNe7SEAuFZbeo4Gf1S,1,83.0,89.67,15.0,23.68,,,,,,,,,,,,,,,,,,,,15.0,83.0,89.67,23000.0,2300000.0,2025-10-31,2025-11-13
kệ nhắm mắt yêu luôn,hana cẩm tiên,tuệ ny,zingmp3,32.0,2025-08-05,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",1tteKpc4fNBOmx9kjORyeH,1,82.0,87.64,14.0,23.45,,,,,,,,,,,,,,,,,,,,14.0,82.0,87.64,35000.0,1300000.0,2025-10-31,2025-11-13
đợi,52hz,"wean, rio",spotify,62.0,2024-01-31,"v-pop, vietnam indie, vietnamese hip hop",33S16Xa5cZmLPhn6eZI4Nm,1,70.0,79.83,6.0,23.25,,,,,,6.0,70.0,79.83,477.0,15456357.0,40.0,2025-11-01,2025-11-10,,,,,,,,,,,,,
hải trình tan vỡ,trungg i.u,phạm anh duy,zingmp3,50.0,2025-09-15,"v-pop, vinahouse, vietnam indie",5teXF6aAKNuZSSpaP7Bjbo,1,81.0,89.77,13.0,23.22,,,,,,,,,,,,,,,,,,,,13.0,81.0,89.77,8000.0,756000.0,2025-10-31,2025-11-12
moiem,dangrangto,donal,spotify,62.0,2024-11-06,"vietnamese hip hop, v-pop",265hQASPY3HFmUH38zZrSK,1,72.0,87.0,7.0,23.08,,,,,,7.0,72.0,87.0,369.0,15143317.0,22.0,2025-11-05,2025-11-11,,,,,,,,,,,,,
sài gòn hôm nay mưa,jsol,hoàng duyên,spotify,62.0,2021-05-29,"v-pop, vietnamese hip hop, vietnamese lo-fi",1xoadYaxtOp9gHDwgmPDuz,1,77.0,87.8,10.0,22.95,,,,,,10.0,77.0,87.8,1627.0,46973111.0,2.0,2025-10-31,2025-11-11,,,,,,,,,,,,,
nhiều chuyện,the flob,,zingmp3,38.0,2025-10-24,"vietnam indie, v-pop",2Dz03B4vbLiViXJvHOFrm9,1,63.0,63.0,1.0,22.92,,,,,,,,,,,,,,,,,,,,1.0,63.0,63.0,16000.0,,2025-11-08,2025-11-08
yêu thật lòng đâu dễ quên,the men,,zingmp3,32.0,2025-08-19,"v-pop, vinahouse, vietnamese bolero",3vbTwb2UUQivQtu1rAq1zu,1,84.0,94.5,14.0,22.65,,,,,,,,,,,,,,,,,,,,14.0,84.0,94.5,10000.0,1300000.0,2025-10-31,2025-11-13
feel at home,b ray,,apple,61.0,2025-07-08,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",7uulTURh3qtUEUnMNtgcA6,1,76.0,82.25,8.0,22.1,8.0,76.0,82.25,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
giữ anh cho ngày hôm qua,hoàng dũng,"rhymastic, lelarec",apple,61.0,2025-07-09,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",5wYQC7AuxV8ROALWcbVNxc,1,77.0,80.62,8.0,21.7,8.0,77.0,80.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
the playah (special performance),soobin,,apple,51.0,2021-05-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",63qZf6349d3ngku9hrzLac,1,77.0,86.75,8.0,21.7,8.0,77.0,86.75,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
thích quá rùi nà,tlinh,trung trần,spotify,62.0,2023-07-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4qJSUFwZFouto5VZUlln75,1,71.0,87.0,4.0,21.6,,,,,,4.0,71.0,87.0,1879.0,40004963.0,30.0,2025-11-05,2025-11-10,,,,,,,,,,,,,
thời thế thế thời (rock version),nguyễn vĩ,,zingmp3,15.0,2025-10-25,"vinahouse, vietnamese lo-fi, v-pop",1kD03X4GB4Muu3302hceep,1,68.0,79.5,2.0,21.55,,,,,,,,,,,,,,,,,,,,2.0,68.0,79.5,2000.0,,2025-11-07,2025-11-07
nỗi nhớ không tên,will,myra trần,zingmp3,,,,,1,67.0,67.0,1.0,21.33,,,,,,,,,,,,,,,,,,,,1.0,67.0,67.0,2000.0,183000.0,2025-11-12,2025-11-12
simp gái 808,low g,,spotify,61.0,2023-10-18,"vietnamese hip hop, v-pop, vietnam indie",2ppLwHSMgDGEQ5c8o6nAX2,1,69.0,76.5,2.0,21.15,,,,,,2.0,69.0,76.5,751.0,35207783.0,7.0,2025-11-05,2025-11-11,,,,,,,,,,,,,
người bình thường,vũ cát tường,,spotify,61.0,2023-12-04,"v-pop, vietnam indie",1fFvYVg1v3rpUSqKNCUh7b,1,80.0,91.22,9.0,21.12,,,,,,9.0,80.0,91.22,247.0,7417916.0,43.0,2025-11-01,2025-11-11,,,,,,,,,,,,,
một mình chẳng sao,ngân ngân,,zingmp3,11.0,2025-10-31,"vinahouse, v-pop, vietnamese bolero",61p3IxFOF7tzVJvl2whEmP,1,77.0,79.71,7.0,21.08,,,,,,,,,,,,,,,,,,,,7.0,77.0,79.71,3000.0,193000.0,2025-10-31,2025-11-06
chúc phúc,pialinh,,zingmp3,36.0,2025-10-15,"v-pop, vietnam indie",4H2Tp0m4qVHdMc70g2Wf8J,1,68.0,68.0,1.0,20.92,,,,,,,,,,,,,,,,,,,,1.0,68.0,68.0,21000.0,,2025-11-08,2025-11-08
nhói lòng thuyền hoa (rock version),tlong,lkt media,zingmp3,4.0,2025-10-28,"vinahouse, v-pop, vietnamese lo-fi",2dbZRzKtHp4NSnFwECJp6g,1,70.0,82.5,2.0,20.75,,,,,,,,,,,,,,,,,,,,2.0,70.0,82.5,2000.0,,2025-11-07,2025-11-07
love my friend,shayda,,"apple, spotify",59.0,2025-10-10,"v-pop, vietnamese hip hop",6CjmlnDoRepubCwg3hFO1H,2,92.0,97.66,4.0,20.7,1.0,98.0,98.0,2025-11-08,2025-11-08,3.0,92.0,97.33,20.0,736208.0,53.0,2025-10-31,2025-11-05,,,,,,,,,,,,,
trọn vẹn chính mình,hương giang,nguyễn văn chung,zingmp3,23.0,2025-11-07,"v-pop, vietnamese bolero",51jTXqdqEMoXsa73nqb05a,1,69.0,69.0,1.0,20.52,,,,,,,,,,,,,,,,,,,,1.0,69.0,69.0,34000.0,,2025-11-08,2025-11-08
bắc thang lên hỏi ông trời,em xinh say hi,"bích phương, juky san, lamoon, mỹ mỹ, quỳnh anh shyn",zingmp3,56.0,2025-08-04,v-pop,15YePdrwoWzDN68BanP7r4,1,85.0,92.55,11.0,20.38,,,,,,,,,,,,,,,,,,,,11.0,85.0,92.55,34000.0,2600000.0,2025-10-31,2025-11-10
nước mắt cá sấu,hieuthuhai,,apple,63.0,2025-04-01,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",39XiO6D9cuMfJXObD6gVjY,1,82.0,86.62,8.0,19.7,8.0,82.0,86.62,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
cứ khóc hết đi em,cao thái sơn,,zingmp3,18.0,2025-07-08,"v-pop, vinahouse, vietnamese bolero",1sslAVOfUCEorztohvA41g,1,78.0,85.4,5.0,19.42,,,,,,,,,,,,,,,,,,,,5.0,78.0,85.4,7000.0,821000.0,2025-11-03,2025-11-09
có còn yêu em,nguyễn kiều oanh,,zingmp3,44.0,2025-08-16,v-pop,2omZCdoslK3YXKOS4oFQVl,1,89.0,95.67,12.0,19.4,,,,,,,,,,,,,,,,,,,,12.0,89.0,95.67,12000.0,963000.0,2025-10-31,2025-11-11
nghe như tình yêu,hieuthuhai,,spotify,61.0,2021-07-09,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",1J12HjUuXfJnaUdubTEzSR,1,75.0,82.33,3.0,19.38,,,,,,3.0,75.0,82.33,1511.0,39104108.0,30.0,2025-11-05,2025-11-08,,,,,,,,,,,,,
giá mà anh,captain boy,,spotify,58.0,2025-10-23,"v-pop, vietnamese hip hop",7hF5DFtzMER5KzHA1nCTYq,1,75.0,86.33,3.0,19.38,,,,,,3.0,75.0,86.33,12.0,416932.0,69.0,2025-10-31,2025-11-04,,,,,,,,,,,,,
em đã chờ anh bao lâu,anh trai say hi,"phúc du, ogenus, bùi duy ngọc, rio, otis, 52hz",zingmp3,45.0,2025-11-03,"v-pop, vietnamese hip hop",4laDe7NUQ0uAZsuER4KK8a,1,72.0,72.0,1.0,19.33,,,,,,,,,,,,,,,,,,,,1.0,72.0,72.0,2000.0,56000.0,2025-11-10,2025-11-10
quên rồi khổ đau năm ấy,vicky nhung,đông thiên đức,zingmp3,32.0,2025-04-17,"vinahouse, v-pop, vietnamese lo-fi",28pdR27ksvbwEDuLy8pb4r,1,81.0,86.33,6.0,18.85,,,,,,,,,,,,,,,,,,,,6.0,81.0,86.33,11000.0,1700000.0,2025-10-31,2025-11-05
cứ đổ tại cơn mưa (solo & piano),em xinh say hi,orange,zingmp3,41.0,2025-09-18,v-pop,2XMgt7faxpOomPIZN9TEK8,1,84.0,90.71,7.0,18.27,,,,,,,,,,,,,,,,,,,,7.0,84.0,90.71,1000.0,262000.0,2025-10-31,2025-11-13
anh đã ổn hơn,rpt mck,,apple,57.0,2023-03-02,"vietnamese hip hop, v-pop, vietnam indie",3YctJXK6kznnWl68TnYobN,1,84.0,93.57,7.0,18.27,7.0,84.0,93.57,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
vài lần đón đưa,soobin,spacespeakers,"apple, spotify",60.0,2017-01-27,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6hUpxEKFSjS8metuA1yxlf,1,86.0,91.12,8.0,18.1,8.0,86.0,91.12,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
vai lan don dua,soobin,,spotify,60.0,2017-01-27,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6hUpxEKFSjS8metuA1yxlf,1,77.0,80.5,2.0,17.95,,,,,,2.0,77.0,80.5,1485.0,14541672.0,26.0,2025-10-31,2025-11-01,,,,,,,,,,,,,
chìm sâu,rpt mck,trung trần,apple,,,,,1,87.0,90.88,8.0,17.7,8.0,87.0,90.88,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
cưa em bốn mùa,nb3 hoài bảo,ct,zingmp3,32.0,2025-10-27,"vinahouse, vietnamese lo-fi, v-pop, lo-fi",1arYzhjZeNFSzHDXL1YjOd,1,77.0,77.0,1.0,17.33,,,,,,,,,,,,,,,,,,,,1.0,77.0,77.0,4000.0,158000.0,2025-11-08,2025-11-08
một mình ở đây,bùi lan hương,,zingmp3,32.0,2025-06-20,"v-pop, vietnam indie",2Voeolkjs3dZxjK04Kpdkh,1,84.0,88.0,5.0,17.02,,,,,,,,,,,,,,,,,,,,5.0,84.0,88.0,2000.0,164000.0,2025-11-02,2025-11-06
buồn thật đấy,sofia,nguyễn thương,zingmp3,,,,,1,78.0,78.0,1.0,16.92,,,,,,,,,,,,,,,,,,,,1.0,78.0,78.0,2000.0,134000.0,2025-11-12,2025-11-12
vực thẳm của bình yên,jack - j97,,zingmp3,53.0,2025-06-26,"v-pop, vinahouse",6O7qAKr3OBNcQVSRMs0USA,1,80.0,89.5,2.0,16.75,,,,,,,,,,,,,,,,,,,,2.0,80.0,89.5,34000.0,2600000.0,2025-11-09,2025-11-11
muộn rồi mà sao còn,sơn tùng m-tp,,spotify,62.0,2021-04-29,"v-pop, vinahouse, vietnamese hip hop",4vfhartd7HDWGJbdVIycEu,1,82.0,89.33,3.0,16.58,,,,,,3.0,82.0,89.33,1656.0,49244172.0,1.0,2025-11-07,2025-11-09,,,,,,,,,,,,,
peace n' love,low g,mỹ anh,zingmp3,51.0,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",6AJXc3mnynpCegfUcQbwat,1,79.0,79.0,1.0,16.52,,,,,,,,,,,,,,,,,,,,1.0,79.0,79.0,64000.0,,2025-10-31,2025-10-31
chí phèo,đinh tiến đạt mr dee,monocycle,zingmp3,,,,,1,79.0,79.0,1.0,16.52,,,,,,,,,,,,,,,,,,,,1.0,79.0,79.0,,,2025-11-07,2025-11-07
mùa mưa ấy,vũ.,,apple,57.0,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",3qllaNK66kKxX123f0eKpj,1,87.0,91.33,6.0,16.45,6.0,87.0,91.33,2025-11-07,2025-11-12,,,,,,,,,,,,,,,,,,,,,
mảnh tình sai đôi,yến nhi,,zingmp3,29.0,2025-10-02,"v-pop, vinahouse",2ik6v5h2sXSiUjfbchPRtb,1,81.0,83.5,2.0,16.35,,,,,,,,,,,,,,,,,,,,2.0,81.0,83.5,4000.0,174000.0,2025-11-08,2025-11-10
em còn nhớ anh không - remastered,hoàng tôn,koo,spotify,,,,,1,82.0,86.5,2.0,15.95,,,,,,2.0,82.0,86.5,210.0,6119864.0,58.0,2025-11-10,2025-11-11,,,,,,,,,,,,,
sad nhân,strong,,zingmp3,,,,,1,82.0,87.0,2.0,15.95,,,,,,,,,,,,,,,,,,,,2.0,82.0,87.0,1000.0,180000.0,2025-10-31,2025-11-01
thả anh ra,quang hùng masterd,hino,zingmp3,62.0,2025-08-16,"v-pop, vinahouse, vietnamese hip hop",01oJRNQrFwJu3jgGVo8K58,1,95.0,97.7,10.0,15.75,,,,,,,,,,,,,,,,,,,,10.0,95.0,97.7,43000.0,2200000.0,2025-11-01,2025-11-12
cơn mưa cuối,justatee,binz,spotify,,,,,1,83.0,85.5,2.0,15.55,,,,,,2.0,83.0,85.5,13.0,355886.0,83.0,2025-11-09,2025-11-10,,,,,,,,,,,,,
ôm lấy trái tim,kairon,,zingmp3,45.0,2025-05-23,v-pop,3o1Dy1cZKTmaEIxRgBlALQ,1,84.0,86.0,2.0,15.15,,,,,,,,,,,,,,,,,,,,2.0,84.0,86.0,27000.0,2200000.0,2025-11-07,2025-11-07
em cưới rồi à,thanh hưng,,zingmp3,47.0,2025-02-25,"v-pop, vinahouse",7oHtN1f2nW0rV3NayfO3rJ,1,89.0,94.6,5.0,15.02,,,,,,,,,,,,,,,,,,,,5.0,89.0,94.6,210000.0,14900000.0,2025-11-02,2025-11-13
text 07,w/n,267,zingmp3,,,,,1,83.0,83.0,1.0,14.92,,,,,,,,,,,,,,,,,,,,1.0,83.0,83.0,,,2025-11-13,2025-11-13
chỉ anh làm em khóc,đàm vĩnh hưng,trần mạnh cường,zingmp3,29.0,2025-10-08,"vietnamese bolero, bolero, v-pop, vinahouse",1cU4xCTzmAI7irO2pqFYEX,1,83.0,83.0,1.0,14.92,,,,,,,,,,,,,,,,,,,,1.0,83.0,83.0,3000.0,288000.0,2025-11-10,2025-11-10
bao tiền một mớ bình yên?,14 casper,bon nghiêm,spotify,59.0,2023-03-03,"v-pop, vietnamese lo-fi, vietnam indie",7kgzRBNkBRArtTPkYjWLYT,1,85.0,86.5,2.0,14.75,,,,,,2.0,85.0,86.5,1346.0,42988482.0,7.0,2025-11-06,2025-11-11,,,,,,,,,,,,,
bông hoa đẹp nhất,quân a.p,,spotify,60.0,2020-09-07,"v-pop, vietnamese lo-fi",4TyQKEifYDWTfTSRwpxlYI,1,85.0,86.0,2.0,14.75,,,,,,2.0,85.0,86.0,711.0,6154974.0,31.0,2025-11-07,2025-11-11,,,,,,,,,,,,,
tình nhân ơi,orange,binz,apple,46.0,2019-01-07,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",7KNVYQdx7arRoeEJi9C9IR,1,93.0,95.0,7.0,14.68,7.0,93.0,95.0,2025-11-05,2025-11-12,,,,,,,,,,,,,,,,,,,,,
từng là,vũ cát tường,,spotify,61.0,2024-03-01,"v-pop, vietnam indie",2xOhv7XudrBDtkID1jwsFE,1,84.0,84.0,1.0,14.52,,,,,,1.0,84.0,84.0,617.0,36412234.0,2.0,2025-11-07,2025-11-07,,,,,,,,,,,,,
dù cho mai về sau,buitruonglinh,,spotify,62.0,2020-11-17,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",4Iz5EWPCAT8jYNk4IpLoll,1,90.0,94.25,4.0,14.0,,,,,,4.0,90.0,94.25,1678.0,33158072.0,9.0,2025-10-31,2025-11-09,,,,,,,,,,,,,
thanh xuân là anh,2t,"n.diên, shenlongz",zingmp3,51.0,2019-02-23,"vietnamese lo-fi, v-pop, vietnamese hip hop, vietnam indie",0NxqMsJHjk0EO77yNjAGDs,1,87.0,90.0,2.0,13.95,,,,,,,,,,,,,,,,,,,,2.0,87.0,90.0,68000.0,,2025-11-07,2025-11-07
3 1 0 7,w/n,"duongg, nâu",spotify,61.0,2024-06-26,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",5xuaCJaNAqRLwV7OO5zPiF,1,86.0,86.0,1.0,13.73,,,,,,1.0,86.0,86.0,1572.0,34403488.0,11.0,2025-11-04,2025-11-04,,,,,,,,,,,,,
thời thế thế thời,nguyễn vĩ,,zingmp3,29.0,2025-02-17,"vinahouse, vietnamese lo-fi, v-pop",16lFf9WIESyzL8W3GP4wCd,1,90.0,94.67,3.0,13.38,,,,,,,,,,,,,,,,,,,,3.0,90.0,94.67,220000.0,14800000.0,2025-11-06,2025-11-12
forget me now,fishy,trí dũng,spotify,59.0,2021-04-11,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",12DNdwLD9oZOPADqM10oyE,1,87.0,87.0,1.0,13.32,,,,,,1.0,87.0,87.0,95.0,2382182.0,86.0,2025-11-04,2025-11-04,,,,,,,,,,,,,
nhà tôi có treo một lá cờ,dtap,hà anh tuấn,zingmp3,52.0,2025-08-19,v-pop,2L3R75fV5mZIGDVm3nDKqI,1,95.0,96.2,5.0,12.62,,,,,,,,,,,,,,,,,,,,5.0,95.0,96.2,20000.0,2200000.0,2025-11-07,2025-11-10
missing you,phương ly,,apple,,,,,1,93.0,95.33,3.0,12.18,3.0,93.0,95.33,2025-11-10,2025-11-12,,,,,,,,,,,,,,,,,,,,,
đến đây bên anh,cloud 5,dangrangto,spotify,61.0,2023-09-28,v-pop,55Eo6NDkVhSRBonrT16kXM,1,90.0,90.0,1.0,12.12,,,,,,1.0,90.0,90.0,217.0,6849039.0,53.0,2025-11-05,2025-11-05,,,,,,,,,,,,,
ex's hate me pt.2,amee,,spotify,61.0,2020-06-20,"v-pop, vietnamese hip hop, vietnam indie",5tdz7T4hTxA1ipJMBe24uX,1,94.0,96.67,3.0,11.78,,,,,,3.0,94.0,96.67,490.0,13559060.0,67.0,2025-11-03,2025-11-07,,,,,,,,,,,,,
khi em lớn,orange,hoàng dũng,spotify,59.0,2021-04-20,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3J06iY9IRWKr1H0zIxrUby,1,93.0,93.0,2.0,11.55,,,,,,2.0,93.0,93.0,1416.0,24984814.0,3.0,2025-11-04,2025-11-11,,,,,,,,,,,,,
cho tôi lang thang,ngọt,đen,spotify,,,,,1,93.0,93.5,2.0,11.55,,,,,,2.0,93.0,93.5,1729.0,23265159.0,18.0,2025-11-10,2025-11-11,,,,,,,,,,,,,
chờ bao lâu,út nhị mino,hào jk,zingmp3,33.0,2025-05-16,"vinahouse, vietnamese bolero, v-pop",2YD5RI5M1uoIJrKavDyopq,1,93.0,96.5,2.0,11.55,,,,,,,,,,,,,,,,,,,,2.0,93.0,96.5,66000.0,3400000.0,2025-11-01,2025-11-11
tạm bợ,miina,"zio.b, rin9, dreamer",zingmp3,,,,,1,92.0,92.0,1.0,11.32,,,,,,,,,,,,,,,,,,,,1.0,92.0,92.0,5000.0,612000.0,2025-11-12,2025-11-12
chill guys ngon zai,anh trai say hi,"bigdaddy, ogenus, b ray, phúc du",zingmp3,55.0,2025-09-22,"v-pop, vietnamese hip hop",7bRV274z4g3Lns0xV8xYzY,1,94.0,94.0,2.0,11.15,,,,,,,,,,,,,,,,,,,,2.0,94.0,94.0,14000.0,754000.0,2025-10-31,2025-11-02
viết tiếp câu chuyện hòa bình,nguyễn văn chung,tùng dương,zingmp3,48.0,2023-12-21,"v-pop, vinahouse, vietnamese bolero",4L0zBncAEvt5RLAI0IbTKs,1,94.0,96.0,2.0,11.15,,,,,,,,,,,,,,,,,,,,2.0,94.0,96.0,30000.0,2000000.0,2025-11-08,2025-11-09
cơ hội cuối (rock version),an vũ,,zingmp3,19.0,2025-09-05,"v-pop, vinahouse, vietnamese lo-fi",6RsgVHzASir5Hz0CpDVZU5,1,93.0,93.0,1.0,10.92,,,,,,,,,,,,,,,,,,,,1.0,93.0,93.0,25000.0,,2025-11-07,2025-11-07
nửa quân bài,trịnh đình quang,,zingmp3,,,,,1,93.0,93.0,1.0,10.92,,,,,,,,,,,,,,,,,,,,1.0,93.0,93.0,9000.0,789000.0,2025-11-12,2025-11-12
tham phú phụ bần,nguyễn vĩ,,zingmp3,41.0,2024-12-25,"vinahouse, vietnamese lo-fi, v-pop",3pKezs83huL6fTGrsVhfek,1,95.0,97.5,2.0,10.75,,,,,,,,,,,,,,,,,,,,2.0,95.0,97.5,168000.0,14600000.0,2025-11-11,2025-11-12
tình yêu bất diệt,hồ việt trung,saka trương tuyền,zingmp3,30.0,2025-04-03,"vietnamese bolero, v-pop, vinahouse, vietnamese lo-fi, bolero",3Ut2FPcM4l3wGEjvpGmulk,1,96.0,96.0,1.0,9.72,,,,,,,,,,,,,,,,,,,,1.0,96.0,96.0,167000.0,8600000.0,2025-11-11,2025-11-11
ngày mai em đi,lê hiếu,"soobin, touliver",spotify,59.0,2017-08-02,"v-pop, vietnam indie, vietnamese bolero, vietnamese hip hop, vinahouse",0ZP4bO2ywAv44HiEzzHaq5,1,96.0,96.0,1.0,9.72,,,,,,1.0,96.0,96.0,1661.0,15857549.0,2.0,2025-11-01,2025-11-01,,,,,,,,,,,,,
an thần,low g,thắng,spotify,61.0,2021-10-21,"vietnamese hip hop, v-pop, vietnam indie",5C3fx9rdM4Bxf1MSOQC4Ym,1,98.0,98.0,1.0,8.93,,,,,,1.0,98.0,98.0,1467.0,44190203.0,1.0,2025-11-04,2025-11-04,,,,,,,,,,,,,
xa em,thanh hưng,,zingmp3,,,,,1,98.0,98.0,1.0,8.93,,,,,,,,,,,,,,,,,,,,1.0,98.0,98.0,24000.0,2400000.0,2025-11-12,2025-11-12
nằm bên anh,minh đinh,hà an huy,spotify,57.0,2025-05-16,"vietnam indie, v-pop, vietnamese hip hop",5LuyL5o2BcFKK4FOJLYsSy,1,98.0,98.0,1.0,8.93,,,,,,1.0,98.0,98.0,158.0,7069509.0,15.0,2025-11-07,2025-11-07,,,,,,,,,,,,,
yêu rồi để đó,đàm vĩnh hưng,,zingmp3,33.0,2025-05-28,"vietnamese bolero, bolero, v-pop, vinahouse",65kpTC4uDN8jbbkEHgAqdk,1,98.0,98.0,1.0,8.93,,,,,,,,,,,,,,,,,,,,1.0,98.0,98.0,81000.0,5800000.0,2025-11-11,2025-11-11
past won't leave my bed,joji,,apple,,,,,1,98.0,98.0,1.0,8.93,1.0,98.0,98.0,2025-11-09,2025-11-09,,,,,,,,,,,,,,,,,,,,,
vỗ tay,em xinh say hi,phương ly,zingmp3,55.0,2025-08-18,v-pop,4NLtxANI9YZgZbrZdOaSZJ,1,99.0,99.0,1.0,8.52,,,,,,,,,,,,,,,,,,,,1.0,99.0,99.0,19000.0,1400000.0,2025-11-10,2025-11-10
ngây ther,kidsai,"vstra, whenitsasunniday",spotify,,,,,1,100.0,100.0,1.0,8.12,,,,,,1.0,100.0,100.0,3.0,85421.0,100.0,2025-11-08,2025-11-08,,,,,,,,,,,,,
hơn bất cứ ai (ai version),châu dương,,zingmp3,22.0,2025-11-06,"vinahouse, v-pop, vietnam indie",3YOUEJQbfkwOnpEVnnMBB8,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
