title,artists,spotify_popularity,release_date,spotify_genres,spotify_track_id,total_plays,total_likes_nct,spotify_streams,is_hit,release_year
She Never Cries,Hoàng Duyên,53,2025-07-04,"v-pop, vietnam indie, vietnamese lo-fi",3MDrehKu2qDxYUnbVne7B6,0.0,0.0,0.0,1,
Thiên Mệnh,Quân A.P,58,2025-06-07,"v-pop, vietnamese lo-fi",0OB5hTu7ELKeVoD6JVRo6m,0.0,0.0,0.0,1,
Anh Là Ngoại Lệ Của Em,Phương Ly,57,2023-10-05,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6KgZf5gZgF1KLNxq1qZgHP,0.0,0.0,0.0,1,
Anh Là Ai,Phương Ly,54,2019-01-09,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3gLRyMbg5nWLcuKD46Uz72,0.0,0.0,0.0,1,
Mặt Trời Của Em,Phương Ly,55,2017-10-28,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5wOpabdhyumRX782o8J4rS,0.0,0.0,0.0,1,
Say Sóng,Tăng Duy Tân,55,2024-10-29,"v-pop, vinahouse, vietnamese lo-fi",4rIBbB1vt0lEKDG2UTmfP0,0.0,0.0,0.0,1,
Nỗi Đau Đính Kèm,Anh Tú Atus,53,2024-12-10,"v-pop, vietnamese hip hop",5gn0Df0Aa7EM98shC3daR6,0.0,0.0,0.0,1,
"NGÁO NGƠ (feat. HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL & Orange)",ANH TRAI SAY HI,54,2024-08-29,"v-pop, vietnamese hip hop",0BX2eDMZJrGzApf4ZGXrFi,0.0,0.0,0.0,1,
"REGRET (feat. Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương & Lâm Bảo Ngọc)",ANH TRAI SAY HI,54,2024-08-29,"v-pop, vietnamese hip hop",3JIfmjJbanxJkwaPzYa2gN,0.0,0.0,0.0,1,
"HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)",ANH TRAI SAY HI,61,2024-08-06,"v-pop, vietnamese hip hop",7gSQxwCpEMjg8wb6Y3oqe7,0.0,0.0,0.0,1,
Đi Để Trở Về,SOOBIN,54,2017-01-17,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",2qc4FFBylFT5YhvMJMX50R,0.0,0.0,0.0,1,
không lời,Thiều Bảo Trâm,54,2025-05-08,"v-pop, vietnamese lo-fi",4sUO0zmF9LZL1XNe1LjHvV,0.0,0.0,0.0,1,
"KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)",ANH TRAI SAY HI,60,2024-08-26,"v-pop, vietnamese hip hop",2GE2p2dFpxp7OIz2QOFBzW,0.0,0.0,0.0,1,
Đừng Xin Lỗi Nữa,ERIK,54,2018,"v-pop, vinahouse, vietnam indie",1jGzz56TIOz7KIEK3t3e01,0.0,0.0,0.0,1,
Những Ngày Trời Bao La,Jun Phạm,50,2025-06-12,v-pop,6SfljFag2auetsjHi9V2BU,0.0,0.0,0.0,1,
Ngày Đẹp Trời Để Nói Chia Tay,Lou Hoàng,56,2024-06-13,"v-pop, vinahouse",3Alwi53Ahc2GwHgvel42b2,0.0,0.0,0.0,1,
Sẽ Quên Em Nhanh Thôi (feat. Rhymastic),SOOBIN,56,2025-07-24,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6AU9qkbiGBauGjmBX6GfuU,0.0,0.0,0.0,1,
Hoa sữa,JustaTee,50,2011-10-12,"v-pop, vietnamese hip hop, vietnam indie",3mAEEsw6zUJlpmjZOHdHPp,0.0,0.0,0.0,1,
Dân Chơi Sao Phải Khóc,Andree Right Hand,56,2024-01-05,"vietnamese hip hop, v-pop, vinahouse",0dBKcPEAsdxWJsqNDNHcPz,0.0,0.0,0.0,1,
Vệ Tinh,HIEUTHUHAI,50,2022-08-11,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",55nxEY2bGgcxSVLQ9hOFeR,0.0,0.0,0.0,1,
Yêu Em Rất Nhiều,Hoàng Tôn,56,2017-09-22,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",0sVd1ZavOfbqd5AHspc1Tr,0.0,0.0,0.0,1,
Em Xinh,MONO,57,2023-11-30,"v-pop, vietnamese hip hop, vinahouse",6IHLOkgZftkcqS3fM0jMCT,0.0,0.0,0.0,1,
Người Đáng Thương Là Anh,Only C,58,2022-08-03,"v-pop, vietnamese hip hop, vinahouse",55K3e7BGewGDUJ4ZQwkh7M,0.0,0.0,0.0,1,
BADBYE,WEAN,56,2023-06-09,"v-pop, vietnamese hip hop, vietnam indie",78lw4wahFNotXb0mOEtPkM,0.0,0.0,0.0,1,
Vì Yêu Cứ Đâm Đầu,MIN,56,2020-07-29,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5YHDp3PnCQu8GsumxW65TG,0.0,0.0,0.0,1,
Em Là,MONO,58,2022-08-18,"v-pop, vietnamese hip hop, vinahouse",6GxdtMg7DdomU79EodUpfk,0.0,0.0,0.0,1,
Lệ Lưu Ly,Vũ Phụng Tiên,55,2023-09-20,"v-pop, vinahouse, vietnamese hip hop",2JuHIbFudHwDqQssgqsH3i,0.0,0.0,0.0,1,
"Anh Là Ai? (feat. Dick, DT & UMIE)",RAP VIỆT,51,2023-08-09,"vietnamese hip hop, v-pop",6HpkHTTwfVmSoopeloHqOp,0.0,0.0,0.0,1,
Thích Em Hơi Nhiều,Wren Evans,54,2021-06-18,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",45Mswno1F7FoZkcmQkp7fi,0.0,0.0,0.0,1,
Phóng Đổ Tim Em,Wren Evans,53,2023-12-17,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",2kauMp3YNHXULGXyJh4321,0.0,0.0,0.0,1,
"3107 4 (feat. Erik, Nâu)",W/N,59,2022-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",45PPoUgqs3JrhkZGEzSUHT,0.0,0.0,0.0,1,
Mượn Rượu Tỏ Tình,BigDaddy,56,2019-01-18,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",21PfXNAfEIaw1XZeSFGHkt,0.0,0.0,0.0,1,
Dành Cho Em,Hoàng Tôn,55,2015-01-01,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",37KEMM9tMw5Tb5GWlBmOVM,0.0,0.0,0.0,1,
Em Không Quay Về,Hoàng Tôn,52,2015-01-01,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",36vTcKKh2EafskEYs4ju02,0.0,0.0,0.0,1,
Yêu Một Người Có Lẽ,Lou Hoàng,59,2016-03-07,"v-pop, vinahouse",2o4dDfLK6NVI7TjBm5VoMv,0.0,0.0,0.0,1,
Não Cá Vàng,Only C,54,2017-03-05,"v-pop, vietnamese hip hop, vinahouse",5WqyMMhbVsV7yR8lSNy5EI,0.0,0.0,0.0,1,
Mình Là Gì Của Nhau,Lou Hoàng,52,2016-09-21,"v-pop, vinahouse",4Wc98oLOg1IuVCGqIhTDVj,0.0,0.0,0.0,1,
Cảm Giác Lúc Ấy Sẽ Ra Sao,Lou Hoàng,52,2019-03-27,"v-pop, vinahouse",02fKj4He0UVECRfYkIT4EJ,0.0,0.0,0.0,1,
"TÌNH ĐẦU QUÁ CHÉN (feat. Quang Hùng MasterD, Negav, Pháp Kiều & Erik)",ANH TRAI SAY HI,55,2024-09-18,"v-pop, vietnamese hip hop",3Nn9QjxOEj1pleW9xTG6cq,0.0,0.0,0.0,1,
Có Ai Thương Em Như Anh,Tóc Tiên,58,2018-01-01,"v-pop, vietnam indie",7AD5F85waSb3yZxZxEXhJM,0.0,0.0,0.0,1,
Trên Tình Bạn Dưới Tình Yêu,MIN,54,2022-03-21,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",46DiCDUqxQMUU6fSpBvSRG,0.0,0.0,0.0,1,
ANH ĐÃ LÀM GÌ ĐÂU (feat. Nhật Hoàng & Thùy Chi),RAP VIỆT,51,2024-12-02,"vietnamese hip hop, v-pop",37ull7GiBZRLhWYDBIYZzW,0.0,0.0,0.0,1,
Phép Màu - Đàn Cá Gỗ Original Soundtrack,MAYDAYs,68,2025-02-21,"v-pop, vietnam indie",1DVYafsLmcQySKkJnY4RCs,0.0,0.0,0.0,1,
Shay nắnggg,AMEE,53,2022-06-06,"v-pop, vietnamese hip hop, vietnam indie",0f9erLcde4CA2XrRg7mdeE,0.0,0.0,0.0,1,
Tớ Thích Cậu,Han Sara,50,2017-08-15,"v-pop, vietnamese hip hop",0JmYRsO1sanvPDPWKYk2r2,0.0,0.0,0.0,1,
Tâm Sự Tuổi 30,Trịnh Thăng Bình,50,2018-07-25,"v-pop, vinahouse",5H7c7TWQaFz7qQs3UCmtHZ,0.0,0.0,0.0,1,
shhhhhhh..,WEAN,60,2023-10-07,"v-pop, vietnamese hip hop, vietnam indie",4jWmhzf53Q0ZvZMuGdiR9x,0.0,0.0,0.0,1,
Yêu Em 2 Ngày,Dương Domic,58,2024-03-08,"v-pop, vietnamese hip hop",23ep27rDA9gklIzuJ6qzRD,0.0,0.0,0.0,1,
Thành phố phía Đông,VƯƠNG BÌNH,53,2024-11-04,"v-pop, vietnam indie",23v3rSWUt4YqbyH8BHoYWs,0.0,0.0,0.0,1,
Ừ Thì Chia Tay (feat. RHYDER),CAPTAIN BOY,57,2024-10-23,"v-pop, vietnamese hip hop",0HAfl1uPBf5qTMiuAi6Ym7,0.0,0.0,0.0,1,
Yêu Nắm,BigDaddy,50,2024-02-13,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5f4u0kPnU21qNe6fXgAUiV,0.0,0.0,0.0,1,
CHẠM,ANH TRAI SAY HI,55,2025-09-29,"v-pop, vietnamese hip hop",1KxHecfnS2u53hVKAxLTqs,0.0,0.0,0.0,1,
SO GOOD,ANH TRAI SAY HI,51,2025-09-29,"v-pop, vietnamese hip hop",1UaEQjhbyELaijLJZUD1TX,0.0,0.0,0.0,1,
QUAY ĐI QUAY LẠI (feat. HIEUTHUHAI),ANH TRAI SAY HI,51,2024-08-31,"v-pop, vietnamese hip hop",07d8eaOuAWdC0DANq3tdPd,0.0,0.0,0.0,1,
Ghệ Mới,B Ray,50,2025-07-08,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",6TYqqAtKRmykGXrqLRpZSF,0.0,0.0,0.0,1,
KẺ HAI LỜI,ANH TRAI SAY HI,51,2025-11-18,"v-pop, vietnamese hip hop",3UxshXxzUvAVLc5NFL0wHg,0.0,0.0,0.0,1,
Cà Phê,MIN,55,2022-03-21,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",1ggbqJAGPfhCXkAXPKTokY,0.0,0.0,0.0,1,
Hết Thương Cạn Nhớ,Đức Phúc,54,2019-09-29,"v-pop, vinahouse, vietnam indie",3rtMytBKFkyD0HygMUl727,0.0,0.0,0.0,1,
Người Gieo Mầm Xanh,Hứa Kim Tuyền,51,2021-05-19,"v-pop, vietnam indie",6vjzLoNJr2SX30jD9Hh0Dm,0.0,0.0,0.0,1,
2 Phút Hơn - KAIZ Remix,Pháo,60,2020-12-18,"v-pop, vinahouse, vietnamese hip hop",4SUk1ZTtA6OC120afxrpRZ,0.0,0.0,0.0,1,
Chuyện Đôi Ta (feat. Muộii),Emcee L (Da LAB),68,2021-12-01,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",4CUvVaAYuXtvYURLFz7EIL,0.0,0.0,0.0,1,
See Tình - Cukak Remix,Hoàng Thùy Linh,58,2022-05-05,"v-pop, vinahouse, vietnamese hip hop, vietnam indie",2QqUfCa7GbxQm6gB3K4hhi,0.0,0.0,0.0,1,
Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Emcee L (Da LAB),65,2020-12-29,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",5BTzf3doGTigDIYUFtbkI9,0.0,0.0,0.0,1,
Lối Nhỏ,Đen,59,2019-10-21,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",25edeHHueINMguqu9emCyV,0.0,0.0,0.0,1,
Buồn Thì Cứ Khóc Đi,Lynk Lee,55,2019-12-13,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",6iXGivPFpsqKmrINhIbPvx,0.0,0.0,0.0,1,
Cứ Chill Thôi,Chillies,57,2020-07-11,"v-pop, vietnam indie, vietnamese hip hop",014DA3BdnmD3kI5pBogH7c,0.0,0.0,0.0,1,
Đi Về Nhà,Đen,59,2020-12-20,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",7LVrrX8pkzI9fMF88nGabt,0.0,0.0,0.0,1,
See Tình,Hoàng Thùy Linh,53,2022-02-20,"v-pop, vinahouse, vietnamese hip hop, vietnam indie",3bZGGKrMQLDGg18y2QqKFF,0.0,0.0,0.0,1,
Chuyện Rằng,Thịnh Suy,55,2020-08-08,"v-pop, vietnam indie, vietnamese lo-fi",7oBUoEbCDF748UkHnLusUB,0.0,0.0,0.0,1,
3107 3,W/N,62,2021-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",1EmMFSLRVkOszCa4ul9z0F,0.0,0.0,0.0,1,
Gác Lại Âu Lo (feat. Miu Lê),Da LAB,57,2020-07-25,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",1mKDbug8bbfDmLe7I4CJpe,0.0,0.0,0.0,1,
tiny love,Thịnh Suy,57,2021-12-05,"v-pop, vietnam indie, vietnamese lo-fi",4AgFXIVT7hVhBZ5DEOaLu3,0.0,0.0,0.0,1,
ngủ một mình (tình rất tình),HIEUTHUHAI,58,2022-12-15,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",65aTHDZWUdh6WIafu9MtNF,0.0,0.0,0.0,1,
See Tình - Speed Up Version,Hoàng Thùy Linh,53,2022-05-05,"v-pop, vinahouse, vietnamese hip hop, vietnam indie",5sCATdnR2mWbHgdmIXBFHa,0.0,0.0,0.0,1,
Hoa Hải Đường,Jack - J97,53,2020-09-22,"v-pop, vinahouse, vietnamese lo-fi",0J2otOvMdg62gVMMjwOvSK,0.0,0.0,0.0,1,
Em Bé,AMEE,51,2020-09-22,"v-pop, vietnamese hip hop, vietnam indie",4RZJObXQzsKQLd25LBjBG8,0.0,0.0,0.0,1,
Kẻ Cắp Gặp Bà Già (feat. Binz),Hoàng Thùy Linh,52,2019-10-20,"v-pop, vinahouse, vietnamese hip hop, vietnam indie",3HJ0EW4kd9S1NRCm039Fsk,0.0,0.0,0.0,1,
"Em Không Sai, Chúng Ta Sai",ERIK,55,2020-05-07,"v-pop, vinahouse, vietnam indie",3yWacnoBnM0lrzLmXAk44d,0.0,0.0,0.0,1,
Và Thế Là Hết,Chillies,51,2018-12-24,"v-pop, vietnam indie, vietnamese hip hop",0Bk064jKjWtfdOD8UkcImR,0.0,0.0,0.0,1,
Khó Vẽ Nụ Cười (feat. Du Uyen),Đạt G,55,2019-09-17,"v-pop, vietnamese hip hop, vinahouse",0piLGIj0C7RR4B2gowEqmO,0.0,0.0,0.0,1,
Thương Em Là Điều Anh Không Thể Ngờ,Noo Phước Thịnh,53,2018-12-18,"v-pop, vinahouse",2gT5LL3uRANxvvmDxaULbQ,0.0,0.0,0.0,1,
Đông Kiếm Em,Vũ.,58,2015-03-28,"v-pop, vietnam indie, vietnamese lo-fi",0B1ZnYwYefkNhZeE8ZQpv5,0.0,0.0,0.0,1,
Người Như Anh,Mai Tiến Dũng,50,2022-10-20,"v-pop, vietnamese bolero, vietnam indie",6mnkGSgd8eHVv1C38pDP9o,0.0,0.0,0.0,1,
Chạy Về Khóc Với Anh,ERIK,51,2022-01-26,"v-pop, vinahouse, vietnam indie",7hzVxbVA6Y5t9YDzpSgdRS,0.0,0.0,0.0,1,
Yêu Được Không,Đức Phúc,55,2019,"v-pop, vinahouse, vietnam indie",2PZENjHdoBW7u1qLB1Twra,0.0,0.0,0.0,1,
Yêu Xa,Vũ Cát Tường,53,2014-01-01,"v-pop, vietnam indie",7HkOqABWXwZwx9ujjnS6Tg,0.0,0.0,0.0,1,
Vết Mưa,Vũ Cát Tường,64,2014-01-01,"v-pop, vietnam indie",5cn5oHiXJTLiuthgbgfkMh,0.0,0.0,0.0,1,
Tái Sinh,Tùng Dương,51,2024-11-16,"v-pop, vinahouse",1dwlNRSofg8qKgBTqfqbft,0.0,0.0,0.0,1,
Miên Man,Minh Huy,59,2022-06-24,"v-pop, vietnam indie, vietnamese hip hop",6PJ4rafx2ufoaPaTewsRfh,0.0,0.0,0.0,1,
Ngày Em Đẹp Nhất,Tama,54,2023-04-07,"v-pop, vietnam indie",0DtarPcErIh4skfFtxzomo,0.0,0.0,0.0,1,
Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,Olew,58,2023-01-02,"v-pop, vietnam indie",6azvhyagGek75gi0pLyl30,0.0,0.0,0.0,1,
Yêu Người Có Ước Mơ,buitruonglinh,58,2022-12-14,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",37rvzhxln4fXxaD6eG1bbR,0.0,0.0,0.0,1,
Ngồi Nhìn Em Khóc,Sáo,50,2023-04-24,"v-pop, vietnam indie",1wvLeW8THXNent0N2sGSgF,0.0,0.0,0.0,1,
Anh Đã Từ Bỏ Rồi Đấy,Nguyenn,52,2023-02-14,"v-pop, vietnam indie",1YW6r5WNuGOBiofHQZkyCM,0.0,0.0,0.0,1,
Không Còn Em,Madihu,50,2023-07-20,"v-pop, vietnam indie, vietnamese hip hop",1RGA13K66cABN7nYek6WNk,0.0,0.0,0.0,1,
3 1 0 7 (feat. Duongg & Nâu),W/N,61,2024-06-26,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",5xuaCJaNAqRLwV7OO5zPiF,0.0,0.0,0.0,1,
Chạy Khỏi Thế Giới Này,Da LAB,60,2022-06-30,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",2e6uyFP80Vuaz7V7bDWD0e,0.0,0.0,0.0,1,
